"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"2470","HIGHISLAND","PASCAGOULA",29.5668955,-94.3935216,30.3657552,-88.5561272
"2471","CAMERON","PASCAGOULA",34.6049663,-98.436244,30.3657552,-88.5561272
"2472","INTRACOASTALCITY","PASCAGOULA",29.7843773,-92.1562386,30.3657552,-88.5561272
"2473","GRANDISLE","PASCAGOULA",29.2366172,-89.9872941,30.3657552,-88.5561272
"2474","MISSISSIPPIRIVER","PASCAGOULA",38.3349047,-92.2113914,30.3657552,-88.5561272
"2475","PORTOCONNOR","BROWNSVILLE",28.4475898,-96.4053596,25.9017472,-97.4974838
"2476","PORTOCONNOR","BROWNSVILLE",28.4475898,-96.4053596,25.9017472,-97.4974838
"2477","PORTOCONNOR","BROWNSVILLE",28.4475898,-96.4053596,25.9017472,-97.4974838
"2478","PORTOCONNOR","BROWNSVILLE",28.4475898,-96.4053596,25.9017472,-97.4974838
"2479","PORTOCONNOR","BROWNSVILLE",28.4475898,-96.4053596,25.9017472,-97.4974838
"2480","PORTOCONNOR","BROWNSVILLE",28.4475898,-96.4053596,25.9017472,-97.4974838
"2481","BROWNSVILLE","MATAGORDA",25.9017472,-97.4974838,28.691133,-95.9682714
"2482","MATAGORDA","HIGHISLAND",28.691133,-95.9682714,29.5668955,-94.3935216
"2483","BROWNSVILLE","MATAGORDA",25.9017472,-97.4974838,28.691133,-95.9682714
"2484","MATAGORDA","HIGHISLAND",28.691133,-95.9682714,29.5668955,-94.3935216
"2485","BAFFINBAY","SANLUISPASS",74.6932493,-68.4928019,29.0824652,-95.1215959
"2486","BAFFINBAY","BROWNSVILLE",74.6932493,-68.4928019,25.9017472,-97.4974838
"2487","SANLUISPASS","CAMERON",29.0824652,-95.1215959,34.6049663,-98.436244
"2488","BAFFINBAY","SANLUISPASS",74.6932493,-68.4928019,29.0824652,-95.1215959
