"","long","lat","distance_track","distance_watch","origin_lat","origin_long","origin_ref","destin_lat","destin_long","destin_ref","date_analyzed","max_category","watchzone_ref_long","watchzone_ref_lat","intersection_long","intersection_lat","intersect_ref_long","intersect_ref_lat"
"1560",-91.88,30.04,36.5221144873193,13.0689798551413,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.8795166015625,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
"1561",-91.74,30.04,32.5145247086297,14.8206078439496,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.8565902709961,29.8511028289795,-91.5357360839844,29.6047306060791,-91.5,29.6
"1562",-91.6,30.04,30.3603715964497,18.2475100292642,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.6159515380859,29.7766151428223,-91.5357360839844,29.6047306060791,-91.5,29.6
"1563",-91.46,30.04,30.4555181529619,20.4824005318701,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.6159515380859,29.7766151428223,-91.5357360839844,29.6047306060791,-91.5,29.6
"1564",-91.32,30.04,32.7803840117259,25.3197954327792,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1565",-91.18,30.04,36.9160793741223,31.5016116948721,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1566",-91.04,30.04,42.3351884550815,37.1213816452572,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.435661315918,30.1604995727539,-91.5357360839844,29.6047306060791,-91.5,29.6
"1567",-90.9,30.04,48.6103562759622,29.0167520844447,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.435661315918,30.1604995727539,-91.5357360839844,29.6047306060791,-91.5,29.6
"1568",-90.76,30.04,55.4517063835617,21.0899746517871,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4184646606445,30.1146621704102,-91.5357360839844,29.6047306060791,-91.5,29.6
"1569",-90.62,30.04,62.6740946557692,13.1250737514032,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4184646606445,30.1146621704102,-91.5357360839844,29.6047306060791,-91.5,29.6
"1570",-90.48,30.04,70.1599364137498,6.34471439100403,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4184646606445,30.1146621704102,-91.5357360839844,29.6047306060791,-91.5,29.6
"1688",-92.58,30.18,74.2110355991339,36.6253209467421,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2003707885742,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1689",-92.44,30.18,67.2745147543693,32.0937386301825,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2003707885742,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1690",-92.3,30.18,60.7080565964113,29.3156145183019,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2003707885742,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
